timestamp,weekly_mean_price
2011-11-13,6250575.0
2011-11-14,6252047.0
2011-11-15,6259139.5
2011-11-16,6260187.5
2011-11-17,6269233.5
2011-11-18,6278326.0
2011-11-19,6293091.0
2011-11-20,6307025.0
2011-11-21,6316247.5
2011-11-22,6324049.5
2011-11-23,6326124.0
2011-11-24,6331784.0
2011-11-25,6332375.0
2011-11-26,6333206.0
2011-11-27,6337556.0
2011-11-28,6335852.5
2011-11-29,6339564.5
2011-11-30,6341401.5
2011-12-01,6337799.5
2011-12-02,6350312.0
2011-12-03,6342942.0
2011-12-04,6335414.0
2011-12-05,6330417.0
2011-12-06,6329338.0
2011-12-07,6328049.5
2011-12-08,6320748.0
2011-12-09,6313155.5
2011-12-10,6307025.5
2011-12-11,6286517.0
2011-12-12,6259842.0
2011-12-13,6246044.0
2011-12-14,6238121.5
2011-12-15,6226572.0
2011-12-16,6209205.0
2011-12-17,6203784.0
2011-12-18,6198572.0
2011-12-19,6190144.5
2011-12-20,6183433.0
2011-12-21,6176641.5
2011-12-22,6166319.5
2011-12-23,6154258.0
2011-12-24,6148916.0
2011-12-25,6145508.5
2012-01-01,6142051.5
2012-12-24,6143766.5
2012-12-25,6080077.5
2012-12-26,6000207.5
2012-12-27,5869760.0
2012-12-28,5879449.5
2012-12-29,5925462.5
2012-12-30,5991781.5
2012-01-02,6211018.0
2012-01-03,6570977.0
2012-01-04,6898695.0
2012-01-05,7017617.5
2012-01-06,7050987.0
2012-01-07,7079046.0
2012-01-08,7109858.5
2012-12-31,7107647.5
2012-01-09,7091038.0
2012-01-10,6959418.0
2012-01-11,7034070.5
2012-01-12,7112888.5
2012-01-13,7088699.5
2012-01-14,7111695.0
2012-01-15,7122833.5
2012-01-16,7072298.5
2012-01-17,6971398.0
2012-01-18,6933420.5
2012-01-19,6923915.0
2012-01-20,6902053.5
2012-01-21,6914503.0
2012-01-22,6877209.5
2012-01-23,6901941.0
2012-01-24,6966689.0
2012-01-25,7009069.5
2012-01-26,7041101.5
2012-01-27,7078955.5
2012-01-28,7090152.5
2012-01-29,7108363.0
2012-01-30,7129805.0
2012-01-31,7138979.0
2012-02-01,7144281.5
2012-02-02,7145584.0
2012-02-03,7137889.5
2012-02-04,7155993.0
2012-02-05,7154371.0
2012-02-06,7144445.5
2012-02-07,7111078.5
2012-02-08,7079232.0
2012-02-09,7102121.0
2012-02-10,7089321.5
2012-02-11,7041825.5
2012-02-12,7012127.5
2012-02-13,7074559.5
2012-02-14,7083798.5
2012-02-15,7049975.0
2012-02-16,7002310.5
2012-02-17,6944771.0
2012-02-18,6923816.0
2012-02-19,6913662.0
2012-02-20,6895082.0
2012-02-21,6880196.0
2012-02-22,6875523.0
2012-02-23,6875163.0
2012-02-24,6893195.0
2012-02-25,6884372.0
2012-02-26,6880756.0
2012-02-27,6880264.0
2012-02-28,6869949.5
2012-02-29,6868553.0
2012-03-01,6860144.0
2012-03-02,6834875.5
2012-03-03,6821069.5
2012-03-04,6816073.0
2012-03-05,6826131.0
2012-03-06,6831161.0
2012-03-07,6812171.5
2012-03-08,6823332.5
2012-03-09,6847819.5
2012-03-10,6885414.0
2012-03-11,6918019.0
2012-03-12,6944024.0
2012-03-13,6960648.5
2012-03-14,6973605.0
2012-03-15,6974615.0
2012-03-16,6978311.0
2012-03-17,6979438.0
2012-03-18,6977705.0
2012-03-19,6970436.5
2012-03-20,6995527.5
2012-03-21,7022593.0
2012-03-22,7039687.0
2012-03-23,7048469.5
2012-03-24,7040752.5
2012-03-25,7017560.5
2012-03-26,6990135.5
2012-03-27,6960844.0
2012-03-28,6913704.5
2012-03-29,6925292.5
2012-03-30,6928009.0
2012-03-31,6926562.5
2012-04-01,6936856.0
2012-04-02,6954341.5
2012-04-03,6965355.0
2012-04-04,6971605.0
2012-04-05,6962996.5
2012-04-06,6967323.0
2012-04-07,6980395.0
2012-04-08,7005836.0
2012-04-09,7011550.5
2012-04-10,7024062.5
2012-04-11,7035932.0
2012-04-12,7057607.5
2012-04-13,7084390.0
2012-04-14,7101813.5
2012-04-15,7117237.0
2012-04-16,7140038.5
2012-04-17,7153576.0
